project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月,7月,8月,pre_avg,post_avg,pre_std,post_std,absolute_change,relative_change,pre_trend_r2,post_trend_r2,pre_trend_slope,post_trend_slope,pre_zscore,post_zscore,zscore_change
gwdevhub_collective,2023-12-15T06:44:35.169Z,0,0,0,0,0,0,0,0,0,0,0,14,41,32,30,45,20,0.0,22.75,0.0,17.260607504620786,22.75,inf,0.0,0.46584694774577307,0.0,0.0,-0.43923667182883946,2.1320709841999115,2.571307656028751
civet,2023-01-07T01:33:00.311Z,0,0,0,0,0,0,0,0,32,34,30,13,14,9,23,28,29,0.0,22.5,0.0,9.304376850247875,22.5,inf,0.0,0.0039289643250039275,0.0,0.0,-0.43923667182883946,2.102646669288946,2.5418833411177855
stc,2022-11-06T12:44:07.966Z,0,0,0,0,0,0,0,0,35,20,17,38,97,4,1,2,1,0.0,22.5,0.0,32.76321979642067,22.5,inf,0.0,0.13446645626576428,0.0,0.0,-0.43923667182883946,2.102646669288946,2.5418833411177855
babashka,2020-03-31T13:19:37.998Z,0,0,0,0,0,0,10,14,23,53,32,25,10,22,22,16,23,3.0,25.375,5.656854249492381,12.872312479559707,22.375,7.458333333333333,0.5820578231292517,0.4227107806157273,0.0,0.0,0.07358924503746933,2.4410262907650457,2.367437045727576
ngx-bootstrap,2019-04-15T11:00:58.396Z,0,0,0,0,0,0,0,0,0,0,26,33,22,23,36,18,18,0.0,22.0,0.0,11.019463300386795,22.0,inf,0.0,0.06453781512605042,0.0,0.0,-0.43923667182883946,2.0437980394670157,2.483034711295855
ngx-bootstrap,2019-04-15T11:00:58.396Z,0,0,0,0,0,0,0,0,0,0,26,33,22,23,36,18,18,0.0,22.0,0.0,11.019463300386795,22.0,inf,0.0,0.06453781512605042,0.0,0.0,-0.43923667182883946,2.0437980394670157,2.483034711295855
unocss,2023-05-05T16:26:42.958Z,0,0,0,0,0,0,0,0,0,0,0,0,6,53,44,40,31,0.0,21.75,0.0,22.54360853355748,21.75,inf,0.0,0.5943446106481945,0.0,0.0,-0.43923667182883946,2.0143737245560507,2.45361039638489
komga,2020-06-13T23:42:15.416Z,0,0,0,0,0,0,0,0,35,23,44,33,10,8,10,25,21,0.0,21.75,0.0,12.532814072323445,21.75,inf,0.0,0.17540440459949325,0.0,0.0,-0.43923667182883946,2.0143737245560507,2.45361039638489
leafletjs,2022-05-25T14:51:15.930Z,0,0,0,0,0,0,0,0,26,18,20,34,25,30,17,17,11,0.0,21.5,0.0,7.615773105863909,21.5,inf,0.0,0.1773985456251466,0.0,0.0,-0.43923667182883946,1.9849494096450855,2.424186081473925
adnauseam,2017-08-29T14:27:37.778Z,0,0,0,0,0,0,0,0,38,66,39,15,14,5,12,6,15,0.0,21.5,0.0,20.80521912542963,21.5,inf,0.0,0.5728429985855727,0.0,0.0,-0.43923667182883946,1.9849494096450855,2.424186081473925
