project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月,7月,8月,pre_avg,post_avg,pre_std,post_std,absolute_change,relative_change,pre_trend_r2,post_trend_r2,pre_trend_slope,post_trend_slope,pre_zscore,post_zscore,zscore_change
ant-design-blazor,2020-03-29T16:33:58.442Z,0,0,0,0,1,1,1,1,5,5,13,16,15,11,11,11,10,0.5,11.5,0.5345224838248488,3.3806170189140663,11.0,22.0,0.761904761904762,0.002678571428571429,0.0,0.0,-0.6080498657513609,1.9072334033558653,2.5152832691072264
ant-design-blazor,2020-03-29T16:33:58.442Z,0,0,0,0,1,1,1,1,5,5,13,16,15,11,11,11,10,0.5,11.5,0.5345224838248488,3.3806170189140663,11.0,22.0,0.761904761904762,0.002678571428571429,0.0,0.0,-0.6080498657513609,1.9072334033558653,2.5152832691072264
codeeditapp,2022-03-30T03:59:21.133Z,0,0,0,0,0,0,0,0,18,22,15,8,11,7,12,8,3,0.0,10.75,0.0,5.800246300189082,10.75,inf,0.0,0.6470528763522394,0.0,0.0,-0.7381324921436451,1.7359044023053258,2.474036894448971
univer,2023-12-26T03:21:20.578Z,4,0,4,3,5,5,7,11,9,11,11,15,15,17,20,16,15,4.875,15.0,3.181980515339464,2.9760952365713798,10.125,2.076923076923077,0.665238935080205,0.47043010752688175,0.0,0.0,0.530173115181126,2.7067687415917163,2.1765956264105903
univer,2023-12-26T03:21:20.578Z,4,0,4,3,5,5,7,11,9,11,11,15,15,17,20,16,15,4.875,15.0,3.181980515339464,2.9760952365713798,10.125,2.076923076923077,0.665238935080205,0.47043010752688175,0.0,0.0,0.530173115181126,2.7067687415917163,2.1765956264105903
stdlib,2023-11-17T14:10:02.043Z,5,4,7,5,4,4,4,5,5,6,5,19,29,23,10,14,11,4.75,14.625,1.0350983390135313,8.4335638967165,9.875,2.0789473684210527,0.07936507936507936,0.026409860956684964,0.0,0.0,0.4976524585830549,2.6211042410664467,2.1234517824833916
helix-editor,2022-04-26T11:11:18.858Z,14,10,14,18,17,21,15,12,21,23,26,27,23,25,33,21,22,15.125,25.0,3.48209706929603,3.8172540616821107,9.875,0.6528925619834711,0.06739603057717933,0.008403361344537816,0.0,0.0,3.196866956222952,4.991155422265576,1.7942884660426244
mudblazor,2020-11-12T21:16:48.785Z,0,0,0,0,0,1,3,6,10,9,10,5,6,11,14,20,12,1.25,10.875,2.187627547301936,4.733995594179856,9.625,7.7,0.6396588486140727,0.4025422121039652,0.0,0.0,-0.41292592616293455,1.764459235813749,2.1773851619766837
astrodotbuild,2021-08-14T02:58:28.579Z,0,0,0,5,7,6,8,15,22,20,16,18,12,15,11,12,13,5.125,14.625,5.19443383412888,3.2043497223082786,9.5,1.853658536585366,0.8579937600453815,0.626832298136646,0.0,0.0,0.595214428377268,2.6211042410664467,2.0258898126891784
element-plus,2020-10-28T12:46:33.634Z,0,0,0,0,0,7,10,11,12,13,15,10,10,10,10,16,13,3.5,12.125,4.956957592256421,2.4748737341529163,8.625,2.4642857142857144,0.7580287929125138,0.0034707760655282517,0.0,0.0,0.17244589260234436,2.0500075708979817,1.8775616782956372
intelowl-project,2022-12-27T21:13:38.393Z,4,6,4,4,4,4,6,4,5,10,12,12,14,14,7,17,17,4.5,12.875,0.9258200997725514,3.399054490379851,8.375,1.8611111111111112,0.0,0.2562007801575036,0.0,0.0,0.43261114538691275,2.221336571948521,1.7887254265616082
selfdefined,2020-03-08T22:52:50.373Z,0,1,2,5,8,2,4,13,9,6,36,19,3,17,0,7,10,4.375,12.25,4.307385683749649,11.585088938557428,7.875,1.8,0.5445254136303224,0.1621936693783421,0.0,0.0,0.40009048878884174,2.078562404406405,1.6784719156175634
lfortran,2022-04-05T20:08:53.196Z,6,6,3,3,2,4,4,6,3,4,6,11,17,18,18,11,10,4.25,11.875,1.5811388300841898,5.383506557731945,7.625,1.7941176470588236,0.0217687074829932,0.23240325088753927,0.0,0.0,0.36756983219077066,1.9928979038811352,1.6253280716903644
logseq,2020-09-22T11:25:49.718Z,0,1,1,1,1,1,2,4,5,9,8,9,8,8,11,8,11,1.375,9.0,1.1877349391654206,1.3093073414159542,7.625,5.545454545454546,0.6564195298372517,0.1984126984126984,0.0,0.0,-0.38040526956486354,1.3361367331874003,1.7165420027522638
ngrx,2017-07-18T17:14:03.380Z,0,0,0,1,3,3,0,4,14,8,7,10,10,10,4,10,10,1.375,8.625,1.6850180160122068,2.1998376563477846,7.25,5.2727272727272725,0.45552560646900286,0.021261641187840456,0.0,0.0,-0.38040526956486354,1.2504722326621305,1.6308775022269941
prowlarr,2021-05-30T21:18:43.442Z,6,4,3,3,3,5,4,4,10,18,15,13,7,10,9,8,10,4.0,11.25,1.0690449676496976,3.770183777256185,7.25,1.8125,0.04761904761904762,0.598229241445322,0.0,0.0,0.30252851899462857,1.8501237363390188,1.5475952173443903
azerothcore,2020-08-09T18:17:35.271Z,9,8,8,11,13,12,5,9,15,10,9,16,15,24,15,20,21,9.375,16.25,2.5599944196367748,5.230405611149374,6.875,0.7333333333333333,0.00012975217334890366,0.5919433047370384,0.0,0.0,1.7009167527116837,2.992317076675949,1.2914003239642653
azerothcore,2020-08-09T18:17:35.271Z,9,8,8,11,13,12,5,9,15,10,9,16,15,24,15,20,21,9.375,16.25,2.5599944196367748,5.230405611149374,6.875,0.7333333333333333,0.00012975217334890366,0.5919433047370384,0.0,0.0,1.7009167527116837,2.992317076675949,1.2914003239642653
keyshade,2024-04-24T19:54:14.123Z,0,0,0,0,7,7,5,9,5,11,10,13,4,16,12,8,8,3.5,10.25,3.8913824205360674,3.6547425158474374,6.75,1.9285714285714286,0.7556154537286612,0.030812324929971997,0.0,0.0,0.17244589260234436,1.6216850682716328,1.4492391756692884
catppuccin,2022-08-30T23:27:35.724Z,1,3,3,3,2,3,4,3,6,7,6,6,9,20,10,10,7,2.75,9.375,0.8864052604279183,4.596194077712559,6.625,2.409090909090909,0.3506493506493506,0.07442740409773378,0.0,0.0,-0.022678046986081946,1.42180123371267,1.4444792806987519
yew,2020-01-11T17:09:35.853Z,2,2,4,9,4,4,4,8,9,7,17,12,11,9,12,12,9,4.625,11.125,2.5599944196367748,2.9970223317724636,6.5,1.4054054054054055,0.28662255092772804,0.015999242639401688,0.0,0.0,0.46513180198498383,1.8215689028305955,1.3564371008456115
supabase-supasquad,2021-06-23T05:00:35.976Z,5,13,9,12,9,12,11,19,11,14,16,14,13,25,16,24,20,11.25,17.75,4.026696625558686,4.6827952580239325,6.5,0.5777777777777777,0.4633941682399834,0.3877772607414302,0.0,0.0,2.1887266016827494,3.334975078777028,1.1462484770942787
strapi,2018-05-25T19:29:12.899Z,4,4,4,4,6,9,8,9,9,12,12,12,12,14,13,11,13,6.0,12.375,2.3299294900428698,0.9161253813129042,6.375,1.0625,0.81203007518797,0.04964539007092201,0.0,0.0,0.8228590245637654,2.107117237914828,1.2842582133510625
il-libro-open-source,2023-10-10T07:48:29.635Z,0,0,0,0,0,1,3,8,6,4,11,15,6,3,8,8,8,1.5,7.875,2.8284271247461903,3.833592123769634,6.375,4.25,0.5820578231292517,0.007001099346178326,0.0,0.0,-0.34788461296679246,1.079143231611591,1.4270278445783835
sequelize,2021-10-07T19:51:56.840Z,0,4,1,1,3,1,0,1,6,8,10,8,7,5,8,8,8,1.375,7.75,1.4078859531733587,1.3887301496588271,6.375,4.636363636363637,0.05190905190905193,0.0634920634920635,0.0,0.0,-0.38040526956486354,1.0505883981031678,1.4309936676680315
verdaccio,2018-05-03T22:26:59.247Z,1,2,3,3,9,6,8,5,10,17,15,15,8,14,5,6,7,4.625,10.875,2.8753881725529062,4.823676724538776,6.25,1.3513513513513513,0.5480818677362955,0.7060994773964846,0.0,0.0,0.46513180198498383,1.764459235813749,1.2993274338287653
servo,2024-02-19T18:34:11.841Z,12,11,12,9,10,9,12,12,15,17,17,11,16,16,18,20,21,10.875,17.0,1.3562026818605375,3.0237157840738176,6.125,0.5632183908045977,0.004160887656033288,0.3809523809523811,0.0,0.0,2.091164631888536,3.1636460777264883,1.0724814458379521
webpack,2016-10-15T15:48:09.612Z,1,1,1,2,4,1,3,5,7,5,10,15,9,10,10,1,7,2.25,8.375,1.5811388300841898,4.138236339311712,6.125,2.7222222222222223,0.5442176870748298,0.10055116937285864,0.0,0.0,-0.15276067337836616,1.193362565645284,1.3461232390236502
chakra-ui,2019-10-12T15:26:27.648Z,0,0,0,0,1,2,3,7,6,5,4,5,9,9,6,8,12,1.625,7.25,2.445841952609133,2.712405363721075,5.625,3.4615384615384617,0.7165600568585644,0.5991678224687933,0.0,0.0,-0.3153639563687214,0.9363690640694747,1.2517330204381962
