project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月,7月,8月
markdown-it,2022-01-25T02:38:00.576Z,0,2,5,2,0,1,0,5,10,1,6,10,7,0,0,2,1
awesome-ttrss,2019-07-23T07:11:34.572Z,0,1,0,7,3,1,31,9,3,12,4,5,8,16,7,6,5
angular-tree-component,2019-10-24T10:39:55.453Z,13,0,1,7,6,3,0,2,6,9,19,2,12,0,1,0,0
jsts,2021-05-30T15:56:13.732Z,2,6,0,0,0,1,1,1,1,6,0,0,0,10,5,0,1
django-import-export,2023-06-26T10:06:19.926Z,12,1,5,2,17,7,10,2,0,3,0,27,1,11,14,6,5
libgit2,2024-07-22T10:38:31.087Z,15,102,27,73,68,29,23,19,29,14,70,91,20,100,56,7,9
lysand,2024-05-24T14:51:39.321Z,57,27,82,54,0,1,62,294,163,133,65,82,47,61,112,49,39
node-opcua,2021-03-08T03:35:49.184Z,13,29,41,57,54,22,35,20,41,41,38,8,5,13,36,47,94
husky,2019-06-26T15:37:59.804Z,31,21,16,7,1,1,14,19,58,15,26,14,12,3,0,41,10
dnnc,2022-03-25T11:14:26.025Z,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11,0
moveable,2019-10-13T12:37:24.379Z,0,0,0,0,0,124,137,52,64,62,36,29,39,47,14,42,54
liquidjs,2020-02-26T15:51:42.909Z,7,9,37,1,19,15,7,8,9,52,12,9,11,6,5,2,16
urllib3,2020-12-27T20:15:17.165Z,21,2,11,5,16,40,11,37,12,4,10,17,5,21,37,25,34
rvm,2019-01-07T18:21:09.433Z,2,10,15,6,1,15,19,47,18,18,11,16,22,12,21,19,5
tidal-media-downloader,2021-07-10T04:11:07.164Z,34,16,3,3,10,5,13,17,4,3,18,4,25,4,16,21,19
pongo2,2021-07-17T05:14:38.522Z,2,3,0,0,2,0,0,0,0,0,0,0,1,7,1,0,7
