project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月,7月,8月
comunica-association,2021-10-15T08:40:15.874Z,2,6,2,5,6,4,4,1,9,3,4,4,9,15,12,3,9
amethyst,2018-11-27T09:01:25.452Z,20,43,56,32,16,58,34,85,61,49,56,37,30,40,62,64,35
mllaunchpad,2019-12-05T09:18:57.291Z,0,0,1,3,1,0,1,2,0,0,11,9,8,7,1,0,1
visualpython,2021-06-25T11:23:17.381Z,0,0,0,0,0,0,0,20,8,6,15,7,4,10,0,3,3
hrea,2022-04-22T20:24:20.014Z,0,1,0,0,0,3,6,7,8,4,16,9,9,5,1,0,0
phpstan-drupal,2021-03-04T02:05:31.169Z,3,2,0,4,1,5,0,3,2,2,4,0,8,2,2,4,23
reactfigma,2020-12-22T03:30:46.308Z,7,6,9,5,8,1,4,2,8,4,5,10,11,16,8,6,9
pyrogram,2021-10-15T06:14:24.667Z,9,17,3,6,9,10,7,9,6,5,14,15,12,11,24,8,8
backyourstack,2019-03-21T12:01:54.681Z,5,22,13,8,5,7,1,5,7,4,11,7,7,9,16,14,25
napi-rs,2023-01-26T23:10:14.056Z,22,6,21,25,14,12,8,16,31,13,24,20,20,16,22,19,16
tampadevs,2023-01-06T22:20:11.777Z,0,0,0,0,1,1,4,8,16,6,8,3,4,7,5,4,3
react-data-table-component,2021-07-13T21:49:09.704Z,4,2,5,7,0,3,6,11,2,15,16,11,5,7,4,4,2
immer,2019-09-16T02:15:08.079Z,4,5,7,7,4,5,1,3,8,10,3,9,8,10,9,5,8
iris-social,2019-10-31T01:18:40.573Z,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,9,3
html-webpack-plugin,2018-03-27T22:39:21.782Z,7,4,7,6,1,3,4,7,25,6,9,8,4,11,7,11,7
pufferpanel,2020-08-11T00:21:11.363Z,0,0,1,0,0,0,0,0,3,0,5,4,3,3,3,1,6
kumbiaphp,2020-01-15T15:45:33.981Z,2,1,1,0,1,0,0,0,0,4,4,2,6,8,1,0,4
ajv,2019-11-02T17:08:11.197Z,4,1,2,3,3,4,3,4,2,3,3,4,4,7,12,9,6
games-on-whales,2024-06-13T01:59:31.511Z,0,0,2,3,0,1,0,0,3,3,5,1,6,1,2,3,9
litiengine,2020-10-05T07:30:13.664Z,1,6,5,0,1,0,0,0,0,4,3,3,6,7,8,6,0
amogos,2021-08-12T20:08:35.183Z,0,0,0,0,0,1,4,2,0,1,16,4,4,2,4,0,0
nodemon,2017-12-07T20:28:06.923Z,0,5,5,5,2,4,5,1,36,7,13,5,3,8,2,10,3
csstree,2024-09-03T13:45:57.174Z,0,0,0,0,0,1,0,1,3,2,3,4,2,3,3,7,2
jira-cli,2021-11-07T04:11:09.442Z,2,4,11,11,2,5,21,15,21,10,12,16,15,5,11,16,9
kobalte,2023-02-07T23:36:57.767Z,0,0,0,0,0,15,9,43,16,28,25,5,6,3,11,3,9
rspamd_project,2019-06-27T07:47:37.382Z,49,11,8,18,8,9,15,7,17,16,16,23,23,16,11,28,15
awesome-ttrss,2019-07-23T07:11:34.572Z,0,0,0,1,0,1,4,8,2,5,6,3,5,11,1,1,5
dnscrypt,2019-07-19T18:00:08.162Z,1,2,1,0,2,3,12,3,4,1,0,18,4,6,4,7,6
excel-parser-processor,2021-07-17T06:27:10.040Z,0,3,1,0,2,1,5,2,0,0,0,0,0,0,0,19,17
androidlocalizeplugin,2022-09-30T10:18:17.992Z,0,1,1,0,0,0,0,3,4,6,3,3,4,2,3,2,4
rslint,2020-10-29T18:38:45.288Z,0,0,0,0,0,0,0,8,29,5,2,4,4,5,0,4,5
openstf,2019-06-28T06:17:04.872Z,1,0,0,2,2,0,3,1,3,3,1,3,2,1,1,3,16
cloudbox,2019-11-10T15:43:14.984Z,4,5,2,1,0,1,1,0,1,2,5,2,10,7,3,0,6
bootscore,2023-09-27T10:22:12.118Z,11,12,10,13,7,10,5,6,14,6,10,10,5,27,22,9,6
hledger,2017-01-20T19:21:45.076Z,1,4,3,1,2,9,2,6,25,3,10,3,8,7,7,9,1
ampalibe,2022-08-12T12:44:08.813Z,0,0,4,9,3,0,2,2,18,9,3,2,10,8,5,1,2
companion,2018-10-07T13:29:30.331Z,0,0,0,0,10,2,0,2,1,3,7,4,3,7,2,1,7
tom-select,2021-03-10T05:13:52.847Z,0,0,0,0,0,0,0,7,3,2,5,5,2,2,3,5,3
platypus,2021-05-03T05:09:58.730Z,0,0,0,0,0,0,0,1,2,1,1,4,5,0,0,1,8
gacp,2020-02-22T21:25:17.059Z,10,8,0,0,0,0,1,0,2,0,1,24,4,2,3,4,0
anotherredisdesktopmanager,2020-07-09T15:10:10.974Z,1,1,0,5,3,9,1,3,6,5,8,2,1,6,4,11,5
apollo-elements,2021-02-01T10:52:33.831Z,0,0,0,6,7,6,4,14,3,3,2,2,6,17,17,7,2
mlpack,2022-04-05T20:16:09.166Z,21,8,11,12,8,18,4,2,16,11,14,9,7,14,15,19,14
core-js,2019-03-22T03:38:17.681Z,0,1,6,3,3,3,4,2,13,7,6,2,8,2,6,4,6
kitspace,2019-02-12T20:17:30.972Z,1,4,4,0,2,0,2,0,2,2,5,7,0,1,3,4,10
angular-tree-component,2019-10-24T10:39:55.453Z,1,1,0,1,1,5,0,1,0,5,2,3,0,4,8,2,4
openscad,2021-01-31T21:39:38.291Z,20,5,10,13,10,9,17,15,33,34,9,9,25,9,6,8,17
browserslist,2020-01-30T19:16:31.799Z,3,4,2,0,0,3,2,5,3,6,3,9,1,4,5,2,7
hiddify,2023-02-05T18:53:16.131Z,0,0,0,0,0,3,2,12,0,4,3,5,1,3,0,2,16
hpy,2020-10-08T09:55:00.977Z,1,9,5,4,2,0,20,9,19,12,15,6,9,7,14,2,2
stalwart,2024-09-24T10:31:06.924Z,5,0,1,8,10,5,6,4,3,3,6,1,5,8,7,8,17
deskreen,2021-01-19T08:22:26.873Z,0,0,0,5,5,0,1,3,11,22,3,0,0,4,0,0,1
devlopr-jekyll,2020-05-08T15:56:01.297Z,0,0,2,0,0,3,3,7,14,16,2,1,2,8,0,1,1
beercss,2023-04-06T07:27:35.894Z,1,0,1,8,5,1,2,0,1,3,8,1,2,6,8,5,1
pikepdf,2021-07-26T13:20:34.318Z,0,1,1,1,2,2,2,2,8,5,3,2,5,1,2,5,4
electerm,2023-09-25T19:41:54.627Z,2,6,6,2,0,2,11,8,10,7,9,9,8,3,5,5,7
validatorjs,2019-01-30T16:42:20.377Z,7,14,9,8,7,12,10,1,8,9,11,6,8,8,16,13,13
codecrumbs,2019-02-18T12:27:17.939Z,0,0,1,0,0,0,0,6,3,2,2,2,0,14,2,0,0
casbin,2019-05-24T13:26:28.474Z,3,4,5,3,1,1,1,5,2,4,9,4,1,11,4,4,1
github-profile-readme-generator,2022-09-27T03:42:29.619Z,2,7,4,5,2,9,4,10,2,30,8,4,3,5,6,1,1
hpx,2021-06-11T01:51:42.122Z,39,20,21,36,57,50,29,44,51,51,35,51,32,47,28,35,32
libreplan,2024-08-02T13:34:23.538Z,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,2,1
single-spa,2020-01-30T21:33:37.866Z,3,5,4,2,4,1,4,18,7,7,13,14,10,4,5,1,2
timecat,2020-07-21T07:44:03.772Z,0,0,0,0,1,1,0,0,14,3,5,6,2,0,1,0,0
confuserex,2019-11-07T19:54:30.737Z,1,0,0,0,0,1,1,0,0,0,1,2,1,2,1,3,8
pest,2022-10-10T15:58:05.795Z,1,1,2,0,0,16,15,3,3,10,4,12,5,5,7,3,7
bootstrap-table,2018-01-15T22:49:33.031Z,0,11,9,2,8,4,5,12,9,8,14,4,13,8,8,5,6
sinuous,2020-02-01T17:16:20.606Z,1,5,2,4,0,0,1,4,3,6,5,3,4,4,0,3,6
muffon,2021-11-16T08:30:30.440Z,0,0,0,0,0,0,0,0,7,7,4,1,1,0,1,0,0
swag,2019-03-15T18:36:49.334Z,8,10,9,6,12,7,9,12,41,6,5,13,29,10,11,6,7
nexrender,2019-12-09T08:31:37.067Z,3,5,5,7,2,2,4,2,1,4,4,2,7,6,3,13,5
html-bundler-webpack-plugin,2023-10-17T09:45:49.407Z,0,2,0,0,0,0,1,0,1,4,2,2,4,2,0,0,2
fluffos-579,2021-01-08T05:36:39.773Z,2,0,6,5,7,12,18,11,1,9,13,18,5,5,8,6,10
supertinyicons,2020-10-18T13:42:45.718Z,0,3,31,0,1,4,0,0,30,18,5,8,2,0,4,13,2
emplea_do,2018-06-06T03:01:30.620Z,0,0,0,0,0,0,0,0,0,0,8,4,1,0,0,0,0
diskframe,2019-09-11T04:17:21.325Z,0,4,0,1,0,0,0,21,35,5,8,12,4,2,3,1,4
aflpluspluseu,2021-06-12T01:02:28.307Z,12,7,26,19,22,63,22,33,37,43,24,6,26,33,39,33,13
rust-battery,2019-06-04T07:57:59.235Z,0,0,0,0,5,0,1,0,0,0,0,0,5,3,6,3,2
jss,2017-06-05T21:41:05.879Z,2,8,5,3,9,5,7,10,6,15,10,4,7,11,6,7,2
silex,2021-02-20T20:49:02.505Z,1,0,1,2,1,3,1,0,0,4,4,5,3,4,0,1,1
floating-ui,2020-01-08T16:42:33.988Z,0,3,5,2,3,0,14,47,57,16,12,30,4,10,6,1,7
puppeteer-screen-recorder,2023-11-11T18:07:37.557Z,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,11,4
bundlephobia,2018-07-24T11:32:25.532Z,0,2,0,0,1,0,0,0,0,1,3,4,2,1,0,3,1
greenshot,2019-09-18T00:33:48.616Z,1,0,1,1,3,1,1,0,1,1,2,0,3,1,2,8,3
mattn-go-sqlite3,2020-09-16T16:54:32.637Z,2,7,0,5,4,3,4,4,4,3,9,9,6,6,3,4,1
husky,2019-06-26T15:37:59.804Z,8,6,7,1,4,1,4,6,13,7,9,3,9,1,1,18,1
openchakra,2020-02-19T04:28:18.651Z,0,0,0,0,0,0,0,5,55,2,3,3,0,2,3,2,2
betonquest,2021-10-17T12:09:05.017Z,6,29,41,42,15,19,28,20,16,7,29,21,31,29,48,11,36
mochajs,2016-04-01T14:34:11.748Z,8,21,10,11,15,20,16,12,17,16,15,22,20,13,16,9,14
libgit2,2024-07-22T10:38:31.087Z,7,39,10,16,20,11,12,8,10,6,14,27,10,32,32,4,9
dexiejs,2023-04-20T10:14:43.728Z,0,2,7,0,1,2,3,3,5,7,11,3,2,0,2,2,2
nsfwfilter,2023-01-14T07:56:23.833Z,1,0,1,0,1,0,0,1,1,2,9,0,1,0,0,0,3
cider,2017-01-06T17:52:08.568Z,18,5,9,5,2,7,3,5,19,4,10,1,5,8,26,8,3
datahike,2021-04-04T01:14:59.813Z,4,11,7,6,8,8,4,3,12,15,5,6,11,3,6,9,7
warden,2022-11-29T19:59:01.522Z,2,5,1,2,0,0,1,2,3,0,7,0,7,2,2,2,4
textpattern-collective,2020-11-04T02:10:12.304Z,0,0,0,6,4,5,3,5,4,6,3,4,7,3,5,4,2
