slug,first_donation_date,-6月,-5月,-4月,-3月,-2月,-1月,0月,+1月,+2月,+3月,+4月,+5月,+6月
mudblazor,2020-11-12T21:16:48.785Z,0,0,0,0,0,0,0,0,0,0,0,0,0
readarr,2020-05-31T18:48:40.076Z,0,0,0,0,0,0,0,0,0,0,0,0,0
localstack,2017-09-20T20:02:33.664Z,0,0,0,0,0,0,1,0,0,0,0,0,0
pytest,2019-07-04T11:04:51.583Z,0,0,0,0,0,0,1,0,0,0,0,1,0
asyncapi,2019-03-10T01:52:36.842Z,0,0,0,0,0,111,66,12,9,24,16,32,0
mvvmcross,2017-04-25T12:51:57.157Z,0,0,0,0,0,0,0,0,0,0,0,0,0
serverest,2020-10-15T18:37:53.720Z,0,0,0,0,0,0,0,0,0,0,0,0,0
rvm,2019-01-07T18:21:09.433Z,0,0,0,0,0,0,0,0,0,0,0,0,0
uptime-kuma,2021-08-28T19:41:32.486Z,0,0,0,0,0,0,0,0,0,0,1,0,0
fedibird-project,2021-08-04T04:37:25.759Z,0,0,0,0,0,0,0,0,0,0,0,0,0
webdriverio,2021-03-23T13:42:03.019Z,0,0,0,3,3,1,2,2,5,25,16,29,6
react-three-fiber,2019-09-12T00:58:24.973Z,0,0,0,0,0,0,0,0,0,5,114,24,4
react-spring,2018-07-20T20:10:15.267Z,0,0,0,0,0,0,0,0,0,0,0,0,0
stylelint,2018-04-10T18:55:24.697Z,0,0,0,0,0,0,0,0,2,1,0,1,0
browserslist,2020-01-30T19:16:31.799Z,0,0,0,0,0,0,0,0,0,0,0,0,0
thecodebarbarian,2020-11-02T13:34:48.673Z,0,0,0,0,0,0,0,0,0,0,0,0,0
ccxt,2018-01-17T20:56:56.622Z,0,0,0,0,0,0,0,0,0,1,0,0,1
ariakit,2018-09-24T08:13:46.297Z,0,0,0,0,0,0,0,0,0,0,0,0,0
react-router,2019-02-27T21:23:09.508Z,0,0,0,0,0,0,0,0,0,0,0,0,0
privacyguides,2019-11-01T01:09:46.232Z,0,0,0,0,0,0,0,0,0,0,0,2,0
