project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,+1月,+2月,+3月,+4月,+5月,+6月,+7月,+8月
sftpgo,2020-12-25T17:24:59Z,7,0,0,0,3,3,10,2,9,2,1,3,6,11,3,1,10
opencv-rust,2022-11-09T12:30:49Z,0,0,1,0,0,1,1,1,1,2,2,2,6,0,1,0,1
wild,2023-10-04T20:49:19Z,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1
valtio,2022-01-20T22:49:35Z,4,1,12,13,8,5,8,5,19,20,18,25,9,5,10,8,10
terragrunt,2023-10-10T18:50:17Z,9,11,9,17,11,8,18,20,22,16,21,20,17,29,39,30,28
xunit,2024-01-17T22:01:08Z,0,1,2,0,0,2,1,1,8,5,1,1,0,3,3,4,1
piral,2021-08-10T12:25:55Z,13,1,1,6,7,3,0,4,6,6,1,5,2,15,9,13,8
gatus,2022-06-17T04:23:24Z,5,1,11,7,2,10,3,2,7,4,6,5,10,16,10,9,11
rustdesk-server,2022-09-14T05:53:31Z,0,0,0,0,2,3,13,4,5,1,2,1,3,7,8,3,1
pmd,2024-10-30T13:05:35Z,15,20,47,20,17,30,17,30,37,53,40,31,48,75,34,34,59
komorebi,2022-08-16T03:02:46Z,7,4,9,11,4,11,3,8,17,13,24,9,16,11,14,7,18
smartknob,2022-03-15T15:46:48Z,0,0,0,0,0,0,0,2,2,5,0,0,1,0,0,5,1
blocky,2021-05-08T22:56:09Z,3,4,1,6,2,17,8,12,11,6,3,9,19,13,12,10,21
Radarr,2023-01-20T16:53:38Z,22,25,23,24,24,13,26,21,22,31,19,41,95,38,57,69,38
beehive,2019-10-05T17:36:00Z,0,0,12,10,1,0,3,0,8,3,1,1,3,1,9,7,3
sysinfo,2020-01-23T21:26:00Z,2,9,2,2,6,1,8,10,9,14,14,14,9,8,20,2,2
developer-roadmap,2022-09-25T22:25:04Z,98,61,51,20,23,29,39,239,222,780,124,88,93,50,147,47,36
frp,2023-02-21T12:34:58Z,6,5,5,2,10,1,8,11,15,11,6,12,10,14,6,7,29
learn-python,2021-03-10T00:11:10Z,0,0,1,0,0,0,1,0,0,1,0,1,3,6,0,1,0
markdig,2020-03-10T10:01:57Z,3,2,0,2,0,0,8,2,7,12,1,1,4,7,4,1,2
dashy,2021-11-18T03:24:35Z,0,0,4,32,19,51,30,23,19,15,19,14,22,11,12,31,16
bat,2019-10-31T13:09:27Z,13,7,7,13,11,8,9,15,15,30,20,7,14,31,26,36,20
obsidian-livesync,2022-07-20T10:55:43Z,0,0,0,0,1,3,0,0,4,2,1,1,1,1,1,2,0
audiobookshelf,2023-12-27T19:15:25Z,23,9,8,8,6,18,20,21,19,17,33,36,12,26,22,38,40
lazygit,2019-11-15T15:23:54Z,16,10,11,5,13,2,4,4,20,7,31,37,45,16,13,2,11
HeroicGamesLauncher,2022-05-03T22:55:18Z,16,17,11,27,32,32,45,33,62,37,66,39,33,54,57,88,57
nerd-fonts,2021-12-03T18:45:11Z,3,5,0,1,3,3,1,9,18,10,9,3,5,3,2,6,8
Lidarr,2022-12-08T15:20:11Z,22,8,7,8,10,13,12,17,30,10,15,13,31,57,22,38,40
Ice,2024-06-04T20:51:11Z,0,0,0,0,3,0,1,0,6,4,6,2,2,0,0,1,0
puppeteer-sharp,2023-03-05T15:15:33Z,6,6,4,6,2,8,4,10,5,23,4,19,6,19,25,7,10
clay,2025-02-17T11:27:11Z,0,0,9,10,8,6,33,54,21,34,13,18,11,5,14,12,11
nextra,2022-11-29T22:55:31Z,32,8,8,14,88,105,44,61,11,87,165,67,79,47,58,42,46
fantoccini,2024-01-05T18:49:17Z,1,1,1,7,2,0,2,0,2,4,1,2,2,4,4,6,3
mogwai,2019-11-21T17:17:19Z,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,4,1
popeye,2020-01-09T10:49:41Z,3,0,0,2,1,2,2,0,10,2,5,0,4,3,3,3,4
revanced-manager,2023-04-12T21:35:21Z,5,55,11,21,9,14,20,13,21,17,31,26,39,53,60,31,28
execa,2019-05-23T14:30:31Z,0,0,5,1,4,2,12,6,48,55,9,2,1,9,5,7,1
croc,2020-10-13T16:35:57Z,1,1,2,0,0,0,3,16,5,2,2,4,3,8,8,2,1
PKHeX,2019-11-02T05:45:05Z,2,6,11,12,8,5,7,4,27,10,13,21,34,4,12,26,15
awesome-alternatives-in-rust,2021-05-21T07:33:49Z,0,0,0,0,0,0,0,0,57,5,3,0,0,1,0,1,0
arkade,2019-07-01T07:03:28Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28
DiscordChatExporter,2022-07-03T05:39:08Z,0,0,2,3,0,1,2,5,1,3,6,3,2,1,6,3,2
goatcounter,2020-02-20T02:06:10Z,0,0,8,13,3,3,8,22,14,21,12,21,18,17,7,2,1
notcurses,2023-11-12T03:00:09Z,0,3,0,0,0,1,0,0,1,4,2,2,3,0,0,5,0
Oxpecker,2024-08-23T20:41:15Z,0,2,2,0,1,0,0,1,1,0,1,4,1,1,7,3,4
Dapper,2023-08-13T07:43:13Z,3,1,2,1,1,0,11,6,6,2,9,8,4,6,6,5,5
wavesurfer.js,2023-07-21T05:28:11Z,1,1,2,6,23,4,9,38,40,19,12,21,11,29,18,4,10
ginkgo,2022-02-01T11:33:21Z,0,1,5,3,3,5,0,11,4,6,4,6,3,5,4,7,14
Fuse,2021-12-03T18:21:52Z,0,1,1,0,1,0,0,2,8,1,2,2,1,13,2,0,2
super-productivity,2021-04-09T11:57:01Z,3,2,19,7,4,21,10,7,98,40,19,32,9,18,19,7,17
pipenv,2022-06-30T03:40:15Z,3,15,2,15,9,28,27,4,11,31,59,34,32,20,22,5,16
kitty,2021-09-05T19:14:00Z,9,3,11,14,13,12,16,10,7,8,43,27,51,43,37,28,8
