slug,name,owner,description,stargazerCount,forkCount,watchersCount,openIssuesCount,openPullRequestsCount,releasesCount,primaryLanguage,createdAt,updatedAt,url,hasGithubSponsor
myinnos_awesomeimagepicker,AwesomeImagePicker,myinnos,"Awesome Image Picker library will pick images/gifs with beautiful interface. Supports image or gif, Single and Multiple Image selection.",161,34,3,13,1,3,Java,2017-03-06T10:04:55Z,2025-07-22T03:13:11Z,https://github.com/myinnos/AwesomeImagePicker,True
myinnos_awesomeimagepicker,AwesomeImagePicker,myinnos,"Awesome Image Picker library will pick images/gifs with beautiful interface. Supports image or gif, Single and Multiple Image selection.",161,34,3,13,1,3,Java,2017-03-06T10:04:55Z,2025-07-22T03:13:11Z,https://github.com/myinnos/AwesomeImagePicker,True
helpers_handlebars-helpers-examples,handlebars-helpers-examples,helpers,Shows how to use helpers from handlebars-helpers with Assemble.,12,4,5,2,0,0,CoffeeScript,2013-05-11T23:52:52Z,2022-08-12T15:45:56Z,https://github.com/helpers/handlebars-helpers-examples,True
helpers_handlebars-helpers-examples,handlebars-helpers-examples,helpers,Shows how to use helpers from handlebars-helpers with Assemble.,12,4,5,2,0,0,CoffeeScript,2013-05-11T23:52:52Z,2022-08-12T15:45:56Z,https://github.com/helpers/handlebars-helpers-examples,True
thoughtbot_trail-map,trail-map,thoughtbot,Trails to help designers and developers learn various topics.,1220,168,88,3,1,0,,2012-04-16T00:35:04Z,2025-07-31T23:13:49Z,https://github.com/thoughtbot/trail-map,True
thoughtbot_trail-map,trail-map,thoughtbot,Trails to help designers and developers learn various topics.,1220,168,88,3,1,0,,2012-04-16T00:35:04Z,2025-07-31T23:13:49Z,https://github.com/thoughtbot/trail-map,True
sudheerj_reactjs-interview-questions,reactjs-interview-questions,sudheerj,List of top 500 ReactJS Interview Questions & Answers....Coding exercise questions are coming soon!!,42620,10011,628,3,1,0,JavaScript,2018-05-31T17:17:01Z,2025-08-03T13:59:41Z,https://github.com/sudheerj/reactjs-interview-questions,True
sudheerj_reactjs-interview-questions,reactjs-interview-questions,sudheerj,List of top 500 ReactJS Interview Questions & Answers....Coding exercise questions are coming soon!!,42620,10011,628,3,1,0,JavaScript,2018-05-31T17:17:01Z,2025-08-03T13:59:41Z,https://github.com/sudheerj/reactjs-interview-questions,True
sudheerj_reactjs-interview-questions,reactjs-interview-questions,sudheerj,List of top 500 ReactJS Interview Questions & Answers....Coding exercise questions are coming soon!!,42620,10011,628,3,1,0,JavaScript,2018-05-31T17:17:01Z,2025-08-03T13:59:41Z,https://github.com/sudheerj/reactjs-interview-questions,True
sapegin_picturebeaver,picturebeaver,sapegin,WSH script for batch optimization PNG/JPEG/GIF images using optipng/jpegtran/gifsicle utilities.,19,2,6,2,0,0,,2009-04-03T08:59:21Z,2023-01-28T05:29:57Z,https://github.com/sapegin/picturebeaver,True
sapegin_picturebeaver,picturebeaver,sapegin,WSH script for batch optimization PNG/JPEG/GIF images using optipng/jpegtran/gifsicle utilities.,19,2,6,2,0,0,,2009-04-03T08:59:21Z,2023-01-28T05:29:57Z,https://github.com/sapegin/picturebeaver,True
blakeblackshear_frigate,frigate,blakeblackshear,NVR with realtime local object detection for IP cameras,24218,2262,207,111,57,76,TypeScript,2019-01-26T13:52:38Z,2025-08-03T16:14:25Z,https://github.com/blakeblackshear/frigate,True
blakeblackshear_frigate,frigate,blakeblackshear,NVR with realtime local object detection for IP cameras,24218,2262,207,111,57,76,TypeScript,2019-01-26T13:52:38Z,2025-08-03T16:14:25Z,https://github.com/blakeblackshear/frigate,True
mikemcquaid_gitinpracticeredux,GitInPracticeRedux,MikeMcQuaid,👩🏼‍💻 A repository created by working through the examples in Git In Practice,41,40,7,0,0,0,,2013-11-24T19:32:27Z,2024-11-04T17:28:12Z,https://github.com/MikeMcQuaid/GitInPracticeRedux,True
mikemcquaid_gitinpracticeredux,GitInPracticeRedux,MikeMcQuaid,👩🏼‍💻 A repository created by working through the examples in Git In Practice,41,40,7,0,0,0,,2013-11-24T19:32:27Z,2024-11-04T17:28:12Z,https://github.com/MikeMcQuaid/GitInPracticeRedux,True
symfony_web-link,web-link,symfony,Manages links between resources,1426,9,7,0,0,126,PHP,2017-04-10T16:58:51Z,2025-07-31T21:49:12Z,https://github.com/symfony/web-link,True
symfony_web-link,web-link,symfony,Manages links between resources,1426,9,7,0,0,126,PHP,2017-04-10T16:58:51Z,2025-07-31T21:49:12Z,https://github.com/symfony/web-link,True
symfony_dotenv,dotenv,symfony,Registers environment variables from a .env file,3791,30,15,0,0,157,PHP,2017-01-12T18:05:23Z,2025-07-30T08:41:19Z,https://github.com/symfony/dotenv,True
symfony_dotenv,dotenv,symfony,Registers environment variables from a .env file,3791,30,15,0,0,157,PHP,2017-01-12T18:05:23Z,2025-07-30T08:41:19Z,https://github.com/symfony/dotenv,True
phoenix616_minedown,MineDown,Phoenix616,A MarkDown inspired markup library for Minecraft chat components,312,21,6,5,0,0,Java,2018-02-06T23:42:59Z,2025-07-31T13:55:01Z,https://github.com/Phoenix616/MineDown,True
phoenix616_minedown,MineDown,Phoenix616,A MarkDown inspired markup library for Minecraft chat components,312,21,6,5,0,0,Java,2018-02-06T23:42:59Z,2025-07-31T13:55:01Z,https://github.com/Phoenix616/MineDown,True
nystudio107_craft-twigpack,craft-twigpack,nystudio107,"Twigpack is a bridge between Twig and webpack, with manifest.json & webpack-dev-server HMR support",96,20,5,0,0,46,PHP,2018-09-17T03:02:48Z,2025-02-04T14:34:08Z,https://github.com/nystudio107/craft-twigpack,True
nystudio107_craft-twigpack,craft-twigpack,nystudio107,"Twigpack is a bridge between Twig and webpack, with manifest.json & webpack-dev-server HMR support",96,20,5,0,0,46,PHP,2018-09-17T03:02:48Z,2025-02-04T14:34:08Z,https://github.com/nystudio107/craft-twigpack,True
