project_name,first_donation_date,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月
rndao,2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
holonym-foundation,2023-08-01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
1hive,2020-07-01,35.0,70.0,70.0,146.0,79.0,128.0,154.0,57.0,66.0,51.0,104.0,64.0,48.0
governator-xyz,2023-04-01,0.0,34.0,75.0,87.0,28.0,22.0,51.0,17.0,3.0,11.0,0.0,0.0,1.0
opencollective,2024-10-01,331.0,134.0,203.0,203.0,174.0,179.0,288.0,174.0,210.0,223.0,203.0,168.0,174.0
cyberconnecthq,2021-12-01,0.0,0.0,0.0,0.0,0.0,3.0,3.0,45.0,34.0,11.0,5.0,18.0,28.0
vocdoni,2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0
whal3s-xyz,2023-08-01,77.0,100.0,67.0,103.0,78.0,81.0,74.0,78.0,61.0,89.0,42.0,86.0,46.0
blocknative,2023-09-01,41.0,65.0,38.0,11.0,0.0,28.0,6.0,6.0,0.0,0.0,0.0,18.0,4.0
eppie-io,2023-04-01,0.0,12.0,17.0,7.0,9.0,27.0,28.0,28.0,2.0,10.0,5.0,26.0,9.0
blockscout,2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0
quest-chains,2022-08-01,0.0,0.0,0.0,0.0,0.0,19.0,49.0,16.0,39.0,52.0,55.0,67.0,114.0
turbo-eth,2023-04-01,0.0,0.0,0.0,9.0,4.0,8.0,44.0,101.0,70.0,109.0,64.0,22.0,2.0
creativeplatform,2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0
lp-finance-inc,2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,20.0
samepage-network,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0
paraswap,2020-04-01,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
labdao,2022-08-01,16.0,5.0,36.0,8.0,7.0,21.0,10.0,11.0,22.0,7.0,12.0,22.0,75.0
shapeshift,2023-04-01,664.0,663.0,243.0,627.0,685.0,698.0,790.0,1166.0,746.0,410.0,516.0,514.0,461.0
amphitheatre-app,2023-11-01,1.0,1.0,0.0,13.0,12.0,9.0,6.0,27.0,83.0,42.0,24.0,29.0,21.0
