project_name,first_donation_date,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月
proof-of-humanity,2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
etheralpha,2023-08-01,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
ipfs,2024-04-01,135.0,58.0,47.0,120.0,69.0,43.0,61.0,38.0,79.0,44.0,50.0,51.0,55.0
trailofbits,2024-10-01,22.0,37.0,23.0,27.0,11.0,11.0,8.0,8.0,12.0,6.0,16.0,18.0,21.0
third-web,2025-02-01,19.0,16.0,8.0,22.0,17.0,17.0,15.0,10.0,13.0,4.0,5.0,10.0,0.0
depayfi,2021-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
gooddollar,2022-03-01,98.0,22.0,63.0,68.0,32.0,47.0,34.0,22.0,28.0,37.0,25.0,62.0,19.0
nethermindeth,2019-10-01,6.0,15.0,52.0,51.0,74.0,24.0,19.0,34.0,103.0,61.0,35.0,30.0,53.0
grassrootseconomics,2020-04-01,0.0,0.0,0.0,0.0,0.0,1.0,23.0,40.0,0.0,0.0,0.0,0.0,0.0
pool-together,2021-03-01,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,7.0,2.0,1.0,1.0,0.0
teku-consensys,2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,71.0,26.0,31.0
giveth,2020-07-01,7.0,17.0,77.0,28.0,38.0,27.0,20.0,35.0,13.0,58.0,37.0,47.0,84.0
banklessdao,2021-06-01,0.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,21.0,17.0,4.0,17.0,15.0
sunrise-stake,2023-11-01,2.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
likecoin,2020-04-01,0.0,0.0,19.0,10.0,3.0,7.0,0.0,5.0,6.0,1.0,3.0,3.0,1.0
airgap-it,2019-10-01,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
ultrasoundmoney,2024-10-01,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0
desciworlddao,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
probe-lab,2024-04-01,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,2.0,0.0
thescinitiative,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0,1.0,1.0
geo-web,2020-12-01,0.0,0.0,0.0,2.0,4.0,2.0,0.0,5.0,2.0,1.0,2.0,0.0,9.0
cambiatus,2022-08-01,13.0,7.0,7.0,13.0,11.0,16.0,19.0,11.0,1.0,0.0,0.0,0.0,0.0
public-assembly,2023-08-01,2.0,45.0,60.0,10.0,14.0,6.0,19.0,1.0,0.0,0.0,0.0,1.0,0.0
0xeigenlabs,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,2.0,1.0
openethereum,2020-12-01,23.0,348.0,13.0,13.0,3.0,18.0,33.0,12.0,26.0,29.0,17.0,9.0,18.0
zeropoolnetwork,2020-04-01,0.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
ethereum-etl-blockchain-etl,2020-02-01,1.0,1.0,0.0,1.0,0.0,0.0,17.0,0.0,1.0,8.0,1.0,0.0,1.0
blobscan,2023-04-01,0.0,0.0,0.0,2.0,0.0,13.0,16.0,10.0,8.0,6.0,13.0,4.0,5.0
bitcoindesign,2023-11-01,20.0,15.0,16.0,11.0,23.0,18.0,20.0,8.0,30.0,24.0,6.0,11.0,12.0
dark-matter-labs,2024-08-01,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sourcify-ethereum,2020-07-01,0.0,0.0,0.0,0.0,0.0,5.0,32.0,1.0,3.0,32.0,9.0,31.0,11.0
rubicon,2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
vyperlang,2019-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,37.0,5.0,10.0,7.0
freezingmoon,2021-03-01,3.0,19.0,10.0,8.0,0.0,4.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0
togethercrew,2024-08-01,16.0,7.0,16.0,19.0,25.0,15.0,26.0,17.0,5.0,15.0,15.0,18.0,5.0
decert-me,2023-08-01,0.0,6.0,24.0,17.0,24.0,32.0,9.0,8.0,6.0,11.0,36.0,11.0,1.0
supermodular-xyz,2023-06-01,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,16.0,14.0,0.0,0.0
luncosim,2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
